date,hits,keyword,geo,time,gprop,category,hits_score
2022-09-08T00:00:00Z,3,forza italia,IT,2022-07-21 2022-09-25,web,0,3
2022-09-09T00:00:00Z,3,forza italia,IT,2022-07-21 2022-09-25,web,0,3
2022-09-10T00:00:00Z,3,forza italia,IT,2022-07-21 2022-09-25,web,0,3
2022-09-11T00:00:00Z,3,forza italia,IT,2022-07-21 2022-09-25,web,0,3
2022-09-12T00:00:00Z,4,forza italia,IT,2022-07-21 2022-09-25,web,0,4
2022-09-13T00:00:00Z,4,forza italia,IT,2022-07-21 2022-09-25,web,0,4
2022-09-14T00:00:00Z,3,forza italia,IT,2022-07-21 2022-09-25,web,0,3
2022-09-15T00:00:00Z,4,forza italia,IT,2022-07-21 2022-09-25,web,0,4
2022-09-16T00:00:00Z,5,forza italia,IT,2022-07-21 2022-09-25,web,0,5
2022-09-17T00:00:00Z,4,forza italia,IT,2022-07-21 2022-09-25,web,0,4
2022-09-18T00:00:00Z,4,forza italia,IT,2022-07-21 2022-09-25,web,0,4
2022-09-19T00:00:00Z,5,forza italia,IT,2022-07-21 2022-09-25,web,0,5
2022-09-20T00:00:00Z,6,forza italia,IT,2022-07-21 2022-09-25,web,0,6
2022-09-21T00:00:00Z,5,forza italia,IT,2022-07-21 2022-09-25,web,0,5
2022-09-22T00:00:00Z,6,forza italia,IT,2022-07-21 2022-09-25,web,0,6
2022-09-23T00:00:00Z,9,forza italia,IT,2022-07-21 2022-09-25,web,0,9
2022-09-24T00:00:00Z,13,forza italia,IT,2022-07-21 2022-09-25,web,0,13
2022-09-25T00:00:00Z,33,forza italia,IT,2022-07-21 2022-09-25,web,0,33
