date,hits,keyword,geo,time,gprop,category,searches,hits_score
2022-07-28T00:00:00Z,0,fratelli d'italia,IT,2022-07-21 2022-09-25,web,0,0,0
2022-07-29T00:00:00Z,0,fratelli d'italia,IT,2022-07-21 2022-09-25,web,0,0,0
2022-07-30T00:00:00Z,0,fratelli d'italia,IT,2022-07-21 2022-09-25,web,0,0,0
2022-07-31T00:00:00Z,< 1,fratelli d'italia,IT,2022-07-21 2022-09-25,web,0,,0
2022-08-01T00:00:00Z,< 1,fratelli d'italia,IT,2022-07-21 2022-09-25,web,0,,0
2022-08-02T00:00:00Z,0,fratelli d'italia,IT,2022-07-21 2022-09-25,web,0,0,0
2022-08-03T00:00:00Z,< 1,fratelli d'italia,IT,2022-07-21 2022-09-25,web,0,,0
2022-08-04T00:00:00Z,0,fratelli d'italia,IT,2022-07-21 2022-09-25,web,0,0,0
2022-08-05T00:00:00Z,0,fratelli d'italia,IT,2022-07-21 2022-09-25,web,0,0,0
2022-08-06T00:00:00Z,0,fratelli d'italia,IT,2022-07-21 2022-09-25,web,0,0,0
2022-08-07T00:00:00Z,0,fratelli d'italia,IT,2022-07-21 2022-09-25,web,0,0,0
2022-08-08T00:00:00Z,0,fratelli d'italia,IT,2022-07-21 2022-09-25,web,0,0,0
2022-08-09T00:00:00Z,0,fratelli d'italia,IT,2022-07-21 2022-09-25,web,0,0,0
2022-08-10T00:00:00Z,< 1,fratelli d'italia,IT,2022-07-21 2022-09-25,web,0,,0
2022-08-11T00:00:00Z,0,fratelli d'italia,IT,2022-07-21 2022-09-25,web,0,0,0
2022-08-12T00:00:00Z,0,fratelli d'italia,IT,2022-07-21 2022-09-25,web,0,0,0
2022-08-13T00:00:00Z,< 1,fratelli d'italia,IT,2022-07-21 2022-09-25,web,0,,0
2022-08-14T00:00:00Z,0,fratelli d'italia,IT,2022-07-21 2022-09-25,web,0,0,0
2022-08-15T00:00:00Z,0,fratelli d'italia,IT,2022-07-21 2022-09-25,web,0,0,0
2022-08-16T00:00:00Z,< 1,fratelli d'italia,IT,2022-07-21 2022-09-25,web,0,,0
2022-08-17T00:00:00Z,0,fratelli d'italia,IT,2022-07-21 2022-09-25,web,0,0,0
2022-08-18T00:00:00Z,< 1,fratelli d'italia,IT,2022-07-21 2022-09-25,web,0,,0
2022-08-19T00:00:00Z,0,fratelli d'italia,IT,2022-07-21 2022-09-25,web,0,0,0
2022-08-20T00:00:00Z,0,fratelli d'italia,IT,2022-07-21 2022-09-25,web,0,0,0
2022-08-21T00:00:00Z,0,fratelli d'italia,IT,2022-07-21 2022-09-25,web,0,0,0
